类型,代码,名称,价格,涨跌%,成交量,相对量,RSI,SAR,EMA20,50日均线,信号,AI点评
表格,0055,SERSOL,0.035,-30.0,8048300,2.54,46.09,多头,0.039,0.034,,
表格,5148,UEMS,0.535,-1.83,7854500,1.16,33.56,空头,0.565,0.594,,
表格,5219,PESTEC,0.055,0.0,7669600,1.81,39.27,多头,0.057,0.061,,
表格,7200,TEKSENG,0.305,7.02,7620200,37.06,80.11,多头,0.252,0.238,,
表格,5347,TENAGA,13.06,-0.61,7548800,0.79,25.51,多头,13.536,14.104,,
表格,0367,ENPRO,0.33,0.0,7013600,0.78,95.13,多头,0.254,0.216,,
表格,5172,SINARAN,0.105,0.0,7000100,3.7,51.1,多头,0.104,0.102,,
表格,0321,SDCG,0.78,1.3,6761400,1.22,83.99,多头,0.764,0.749,,
表格,5264,MALAKOF,0.8,-1.23,6709200,2.14,48.48,多头,0.804,0.806,,
表格,7153,KOSSAN,1.23,2.5,6454200,0.69,63.73,多头,1.16,1.095,,
表格,7277,DIALOG,1.98,1.02,6449100,0.93,49.22,多头,1.99,1.977,,
表格,0186,PTRANS,0.19,-2.56,6415900,0.76,44.22,空头,0.198,0.196,,
表格,5352,MTTSL,1.16,-2.52,6365600,0.85,47.72,多头,1.184,1.13,,
表格,0128,FRONTKN,4.95,-0.6,6322400,1.19,48.0,多头,4.975,5.032,,
表格,7155,SKPRES,0.35,-5.41,6269400,0.87,62.14,多头,0.331,0.317,,
表格,0145,TFP,0.06,-7.69,6231800,2.18,41.36,空头,0.065,0.074,,
表格,8338,DATAPRP,0.075,-6.25,6217900,0.49,50.91,多头,0.075,0.07,,
表格,5296,MRDIY,1.3,0.78,6206800,0.47,35.39,多头,1.336,1.459,,
表格,5183,PCHEM,4.58,2.0,6169200,0.82,49.8,空头,4.61,4.54,,
表格,0051,CUSCAPI,0.055,0.0,6093000,0.24,39.32,多头,0.061,0.079,,
表格,0215,SLVEST,3.9,2.9,6048700,1.44,75.02,多头,3.419,3.181,,
表格,8869,PMETAL,7.46,-1.71,6014200,0.8,36.96,空头,7.734,7.865,,
表格,5161,JCY,0.53,-3.64,5974500,0.42,55.09,空头,0.518,0.469,,
表格,0193,KINERGY,0.415,-1.19,5864000,0.53,58.42,多头,0.407,0.409,,
表格,0166,INARI,2.61,-2.61,5833900,0.27,54.86,多头,2.584,2.424,,
表格,1155,MAYBANK,10.12,-0.2,5724600,0.31,42.64,多头,10.173,10.345,,
表格,5199,HIBISCS,2.3,5.5,5704600,0.81,57.92,空头,2.223,2.096,,
表格,0251,SFPTECH,0.26,-3.7,5609100,0.46,39.54,多头,0.276,0.317,,
表格,0236,RAMSSOL,0.77,0.0,5533300,0.88,48.49,空头,0.775,0.773,,
表格,8893,MKLAND,0.16,6.67,5482200,10.68,71.14,多头,0.146,0.144,,
表格,5337,ECOSHOP,1.48,0.68,5479200,0.52,53.31,多头,1.471,1.473,,
表格,5099,CAPITALA,0.25,-1.96,5429200,0.2,33.17,多头,0.283,0.333,,
表格,5037,COMPUGT,0.015,0.0,5380000,7.05,40.46,空头,0.015,0.016,,
表格,0233,PEKAT,2.64,10.0,5356700,3.24,86.32,多头,2.12,1.909,,
表格,0470,BFIELD,0.48,-1.03,5110200,0.19,,多头,,,,
表格,0471,PIONEER,0.295,1.72,4972200,0.23,,多头,,,,
表格,0372,CHEEDING,0.57,-3.39,4967600,1.76,38.86,空头,0.592,0.613,,
表格,0172,OCK,0.49,-2.0,4924700,1.63,74.59,多头,0.438,0.399,,
表格,0275,OPPSTAR,0.675,-4.26,4908900,0.33,49.93,多头,0.677,0.658,,
表格,8907,EG,1.75,-3.31,4807700,0.73,46.63,多头,1.771,1.81,,
表格,0459,SUM,0.715,-1.38,4759300,0.75,67.64,多头,0.66,0.606,,
表格,0083,NOTION,0.645,-3.73,4738200,0.49,57.07,多头,0.627,0.568,,
表格,6888,AXIATA,1.67,-1.18,4650300,0.73,33.89,空头,1.752,1.864,,
表格,1651,MRCB,0.29,1.75,4572400,0.57,39.08,空头,0.3,0.313,,
表格,0267,ECA,0.38,-5.0,4548200,1.43,46.11,空头,0.399,0.37,,
表格,0259,SNS,0.52,-1.89,4547300,0.74,50.5,多头,0.517,0.529,,
表格,4197,SIME,2.46,-1.99,4546400,0.27,57.88,多头,2.429,2.258,,
表格,0380,AQUAWALK,0.14,0.0,4430300,1.32,38.65,空头,0.148,0.153,,
表格,9679,WCT,0.365,-2.67,4387400,0.94,38.42,空头,0.379,0.392,,
表格,0104,GENETEC,0.31,-4.62,4363400,0.58,41.49,多头,0.322,0.339,,
表格,5225,IHH,8.06,0.75,4324100,1.05,53.63,多头,7.934,8.174,,
表格,3557,ECOFIRS,0.32,-1.54,4260200,1.44,40.34,空头,0.335,0.343,,
表格,9326,LBALUM,0.49,2.08,4254700,13.92,66.51,多头,0.478,0.471,,
表格,0345,SUNLOGY,0.44,-2.22,4215200,0.55,51.45,空头,0.443,0.4,,
表格,0310,UUE,0.755,-2.58,4048000,0.79,69.16,多头,0.67,0.602,,
表格,7579,AWC,0.635,6.72,3925500,2.76,80.78,多头,0.546,0.486,,
表格,0338,KOPI,0.89,1.14,3892200,1.26,30.77,空头,0.931,0.969,,
表格,7225,PA,0.215,0.0,3875600,0.53,51.39,空头,0.213,0.211,,
表格,7066,YONGTAI,0.105,0.0,3868300,1.2,43.4,空头,0.111,0.114,,
表格,0032,REDTONE,0.37,-2.63,3852100,2.46,68.72,多头,0.352,0.316,,
表格,0339,CBHB,1.09,0.0,3782400,0.3,78.48,多头,0.985,0.829,,
表格,5317,CPETECH,1.26,-2.33,3719600,0.89,55.88,空头,1.23,1.128,,
表格,6947,CDB,2.6,-1.14,3711500,1.15,33.64,空头,2.69,2.802,,
表格,5176,SUNREIT,2.04,-1.92,3657900,1.32,43.79,多头,2.068,2.113,,
表格,5246,WPRTS,6.72,-0.44,3598400,0.82,44.06,空头,6.794,6.778,,
表格,0127,JHM,0.535,-1.83,3591300,0.78,60.64,多头,0.51,0.458,,
表格,3182,GENTING,1.88,-1.05,3543600,0.79,34.47,空头,1.972,2.091,,
表格,5306,FFB,1.93,-2.03,3539300,1.15,33.85,空头,2.0,2.125,,
表格,0209,AIMFLEX,0.115,-4.17,3467900,0.36,41.81,空头,0.124,0.121,,
表格,0373,VERDANT,0.24,-2.04,3463300,3.35,73.06,多头,0.214,0.206,,
表格,0245,MNHLDG,3.9,1.3,3292600,0.91,64.52,多头,3.696,3.351,,
表格,5056,ENGTEX,0.435,-2.25,3237500,3.4,50.99,多头,0.432,0.44,,
表格,5336,CKI,0.355,-6.58,3188900,1.93,30.82,空头,0.392,0.391,,
表格,0223,SAMAIDEN,2.69,5.49,3151100,1.46,87.32,多头,2.034,1.709,,
表格,8583,MAHSING,1.0,-0.99,3133900,0.59,31.5,空头,1.058,1.072,,
表格,0388,SEMICO,0.61,-0.81,3104900,1.02,59.86,空头,0.607,0.586,,
表格,0217,PWRWELL,1.18,-0.84,3053300,0.89,69.41,多头,1.09,0.992,,
表格,5309,ITMAX,4.43,0.91,3010900,1.61,50.06,空头,4.413,4.495,,
表格,8664,SPSETIA,0.755,0.0,2985200,0.78,30.81,空头,0.802,0.855,,
表格,0469,GTA,0.28,0.0,2962800,0.12,,空头,,,,
表格,5356,STRATUS,2.97,-3.26,2920000,0.89,56.59,多头,2.846,,,
表格,5211,SUNWAY,4.65,-1.06,2884200,0.58,39.24,多头,4.752,5.02,,
表格,5288,SIMEPROP,1.26,-0.79,2883600,0.48,38.25,空头,1.294,1.326,,
表格,5005,UNISEM,4.5,-5.06,2820000,1.08,54.38,多头,4.382,4.427,,
表格,9075,THETA,0.67,4.69,2788000,2.64,52.84,空头,0.654,0.65,,
表格,5227,IGBREIT,2.78,-0.71,2752600,0.77,54.25,空头,2.765,2.748,,
表格,5210,ARMADA,0.35,0.0,2690300,0.39,47.94,空头,0.353,0.35,,
表格,0045,SSB8,0.615,-3.91,2618300,0.75,53.16,空头,0.612,0.577,,
表格,0368,OXB,0.45,-1.1,2547300,0.75,54.36,多头,0.44,0.429,,
表格,7160,PENTA,5.18,-4.25,2443600,1.04,46.96,多头,5.284,5.263,,
表格,5327,MEGAFB,2.72,4.62,2405500,0.37,85.35,多头,2.408,2.075,,
表格,0348,CLITE,0.22,-4.35,2355800,1.03,56.08,空头,0.216,0.183,,
表格,0192,INTA,0.405,-2.41,2326600,1.34,61.95,多头,0.387,0.378,,
表格,5286,MI,5.81,-5.22,2290700,0.71,50.63,空头,5.814,5.712,,
表格,5284,LCTITAN,0.345,4.55,2265800,0.85,53.77,空头,0.338,0.329,,
表格,0457,PENTECH,0.325,-2.99,2232500,0.22,50.52,多头,0.331,0.309,,
表格,0167,MCLEAN,0.775,-1.9,2148100,0.78,56.07,多头,0.752,0.74,,
表格,5357,SKYECHIP,3.0,-3.23,2127300,0.61,48.52,多头,3.013,3.04,,
表格,0196,QES,0.595,-1.65,2074600,0.62,57.39,多头,0.566,0.574,,
表格,0272,TTVHB,0.245,-3.92,2035300,0.52,47.78,空头,0.249,0.253,,
表格,5326,99SMART,3.2,-2.14,2032900,0.57,34.77,空头,3.322,3.507,,
表格,0391,AMBEST,1.36,-1.45,2009600,0.63,57.16,空头,1.335,1.128,,
表格,5236,MATRIX,1.13,1.8,2009600,1.52,37.83,空头,1.156,1.188,,
表格,0375,THMY,1.97,0.0,2007400,0.93,60.57,多头,1.854,1.864,,
表格,5141,DAYANG,1.47,0.68,1987900,0.75,45.88,空头,1.475,1.541,,
表格,5145,SEALINK,0.33,1.54,1940400,2.8,67.45,多头,0.314,0.308,,
表格,5205,SENDAI,0.28,-1.75,1929000,1.24,62.61,多头,0.254,0.271,,
表格,9059,TSH,1.43,2.14,1905700,0.82,55.39,空头,1.42,1.312,,
表格,5162,VSTECS,1.57,-3.09,1905500,1.37,38.42,空头,1.633,1.697,,
表格,0292,JTGROUP,1.15,0.0,1904500,0.73,78.35,多头,1.0,0.864,,
表格,7081,PHARMA,1.07,-0.93,1894300,0.81,33.09,空头,1.126,1.155,,
表格,0450,MFGROUP,0.26,1.96,1888300,2.66,45.51,空头,0.262,0.267,,
表格,5335,HI,1.85,0.0,1876100,2.17,52.75,多头,1.826,1.883,,
表格,0112,MIKROMB,0.65,0.0,1847900,0.54,70.55,多头,0.631,0.586,,
表格,4383,JTIASA,0.97,0.0,1806500,0.36,38.02,空头,1.007,1.051,,
表格,1015,AMBANK,6.57,-0.76,1752700,0.34,32.12,空头,6.761,6.873,,
表格,0268,L&PBHD,0.21,-2.33,1735900,0.65,74.73,多头,0.182,0.153,,
表格,0097,VITROX,9.88,0.0,1672200,0.49,65.07,多头,9.456,8.965,,
表格,5272,RANHILL,3.31,2.8,1660600,0.54,77.96,多头,2.863,2.47,,
表格,7233,DUFU,2.86,-3.7,1630100,0.51,56.96,多头,2.765,2.661,,
表格,0291,CHB,2.27,-0.87,1629300,1.16,61.47,多头,2.175,2.001,,
表格,5072,HIAPTEK,0.255,-1.92,1605700,1.24,47.35,空头,0.256,0.259,,
表格,0293,KJTS,1.07,1.9,1591200,1.0,57.87,空头,1.03,0.991,,
表格,2852,CMSB,0.99,0.0,1576000,0.68,46.18,多头,0.999,1.015,,
表格,5230,TUNEPRO,0.26,6.12,1566900,3.08,55.34,多头,0.253,0.264,,
表格,0337,SET,0.245,0.0,1561700,0.75,53.86,多头,0.241,0.243,,
表格,3662,MFLOUR,0.63,3.28,1556200,0.59,46.07,空头,0.64,0.631,,
表格,0239,ECOMATE,0.865,-0.57,1536900,0.48,59.03,空头,0.858,0.855,,
表格,7217,EMETALL,0.44,0.0,1534700,7.21,57.23,空头,0.439,0.431,,
表格,0168,BMGREEN,1.73,2.37,1513900,2.01,58.75,多头,1.646,1.729,,
表格,5292,UWC,6.51,-2.25,1489900,0.42,49.75,多头,6.524,6.468,,
表格,5263,SUNCON,7.57,0.0,1469700,0.35,47.33,多头,7.643,7.796,,
表格,5340,UMSINT,8.53,1.55,1442000,6.39,57.86,多头,8.305,8.12,,
表格,6012,MAXIS,3.59,-0.55,1423400,0.62,50.5,多头,3.581,3.603,,
表格,7293,YINSON,2.06,0.49,1419300,0.34,52.98,多头,2.041,1.979,,
表格,0336,WINSTAR,0.64,-0.78,1410300,0.94,47.49,空头,0.651,0.608,,
表格,7161,KERJAYA,3.41,0.59,1403500,0.45,68.86,空头,3.244,2.836,,
表格,0390,ISF,0.845,0.0,1379400,0.45,65.62,多头,0.792,0.709,,
表格,7241,NGGB,0.715,1.42,1374900,0.36,53.75,多头,0.705,0.715,,
表格,5248,BAUTO,0.93,0.0,1362900,0.6,46.83,空头,0.933,0.956,,
表格,0366,ICENTS,0.875,0.0,1337700,0.35,65.41,多头,0.815,0.722,,
表格,5277,FPGROUP,0.4,-2.44,1328500,1.0,46.82,多头,0.405,0.413,,
表格,5789,LBS,0.385,0.0,1325300,0.61,39.32,空头,0.39,0.399,,
表格,0151,KGB,8.77,0.23,1307600,0.37,53.54,多头,8.674,8.528,,
表格,9792,SEG,0.635,0.79,1284900,0.97,54.14,空头,0.633,0.628,,
表格,0277,CLOUDPT,0.47,-3.09,1245600,0.86,50.02,多头,0.47,0.466,,
表格,3816,MISC,7.92,1.93,1224800,0.6,50.17,多头,7.904,7.966,,
表格,6633,LHI,0.725,0.69,1218100,0.76,41.6,空头,0.74,0.754,,
表格,4863,TM,7.9,0.0,1205200,0.27,53.72,空头,7.856,7.783,,
表格,4758,ANCOMNY,0.865,-0.57,1194100,1.59,47.95,多头,0.868,0.866,,
表格,5123,SENTRAL,0.65,-0.76,1180200,1.61,36.4,空头,0.663,0.68,,
表格,0285,MERSEC,0.275,0.0,1171400,1.32,43.77,空头,0.279,0.274,,
表格,8206,ECOWLD,1.94,0.52,1151000,0.62,43.68,多头,1.962,2.029,,
表格,0325,NE,1.13,0.0,1146600,0.5,59.23,多头,1.077,1.06,,
表格,7247,SCGM,0.35,-2.78,1146400,1.83,65.74,多头,0.322,0.312,,
表格,0358,ICTZONE,0.265,0.0,1124800,0.34,53.13,空头,0.262,0.248,,
表格,0240,CORAZA,1.11,0.0,1115700,0.4,50.8,多头,1.104,1.121,,
表格,4715,GENM,1.5,-1.32,1114100,0.46,30.43,多头,1.572,1.688,,
表格,0213,MTAG,0.2,-2.44,1110500,4.37,37.77,空头,0.207,0.216,,
表格,6459,MNRB,2.92,3.18,1110100,2.25,56.96,多头,2.866,2.856,,
表格,7195,BNASTRA,2.5,0.81,1103000,1.24,72.26,多头,2.448,2.301,,
表格,0246,CNERGEN,0.925,-4.64,1089600,0.62,57.84,多头,0.903,0.769,,
表格,1171,MBSB,0.545,0.93,1084000,0.27,30.26,多头,0.565,0.598,,
表格,0455,BUSCAP,0.52,-2.8,1081900,0.58,59.27,多头,0.487,0.389,,
表格,0331,CRPMATE,0.2,0.0,1080100,0.83,45.47,空头,0.203,0.206,,
表格,0271,WELLS,0.63,0.0,1080000,1.12,48.02,空头,0.631,0.637,,
表格,0395,OGX,0.43,-1.15,1076600,0.31,47.26,多头,0.433,0.453,,
表格,0265,INFOM,1.6,1.27,1040200,3.99,59.87,空头,1.576,1.525,,
表格,7052,PADINI,1.02,-0.97,1021800,0.36,30.19,空头,1.103,1.289,,
表格,7022,GTRONIC,0.22,-4.35,1018700,0.63,39.77,空头,0.233,0.246,,
表格,5106,AXREIT,1.82,0.55,1010700,0.74,49.19,多头,1.817,1.854,,
表格,6139,TAKAFUL,3.05,0.33,1002200,1.0,41.15,空头,3.089,3.16,,
表格,4243,WTK,1.01,1.0,1001700,0.41,42.33,空头,1.062,1.008,,
表格,5073,NAIM,0.88,0.0,989900,0.96,71.49,多头,0.806,0.791,,
表格,5180,CLMT,0.585,0.0,979400,0.26,46.86,空头,0.589,0.587,,
表格,3794,MCEMENT,5.64,1.44,974500,0.59,41.48,多头,5.74,6.112,,
表格,5271,PECCA,1.38,0.73,927100,0.48,65.73,多头,1.347,1.322,,
表格,7231,WELLCAL,1.12,0.9,870200,3.65,54.67,多头,1.112,1.111,,
表格,5235SS,KLCC,8.35,0.0,831100,0.96,40.23,空头,8.439,8.569,,
表格,5053,OSK,1.89,1.07,815400,0.59,42.49,空头,1.919,1.964,,
表格,0466,SRKKAI,0.525,-2.78,813900,0.47,47.46,多头,0.526,0.533,,
表格,5109,YTLREIT,0.99,0.0,808800,1.37,35.92,空头,1.0,1.005,,
表格,7103,SPRITZER,3.78,1.07,805100,0.75,68.13,多头,3.65,3.293,,
表格,7498,RALCO,0.985,0.51,788800,1.51,53.68,多头,0.979,0.974,,
表格,5328,LWSABAH,1.74,-1.69,780100,0.56,58.02,空头,1.701,1.607,,
表格,0359,HKB,0.64,0.79,767800,0.59,56.79,多头,0.626,0.605,,
表格,7854,TIMWELL,2.26,0.0,753300,1.13,78.97,多头,2.128,1.973,,
表格,5031,TIMECOM,5.85,-0.85,741500,0.41,46.69,多头,5.917,5.926,,
表格,6483,KENANGA,0.62,2.48,740700,1.45,43.29,多头,0.623,0.668,,
表格,6599,AEON,0.955,-1.04,733100,0.7,28.62,空头,0.983,1.016,,
表格,0146,JFTECH,0.69,-2.82,706400,0.51,55.04,多头,0.671,0.671,,
表格,5308,SENFONG,0.7,2.19,704500,4.23,55.57,空头,0.694,0.682,,
表格,1562,SPTOTO,1.26,-1.56,695200,1.52,40.32,多头,1.279,1.304,,
表格,5028,HTPADU,0.905,-6.22,688100,1.45,25.08,多头,1.023,1.161,,
表格,5307,AMEREIT,1.6,3.23,677800,13.25,63.43,多头,1.528,1.522,,
表格,7095,PIE,1.81,-2.69,671800,0.53,60.91,多头,1.714,1.606,,
表格,7174,CAB,0.53,0.0,669100,1.02,52.07,空头,0.529,0.526,,
表格,7034,TGUAN,1.52,0.66,657600,0.99,38.72,空头,1.596,1.554,,
表格,7084,QL,4.0,0.5,655400,0.38,55.89,多头,3.916,3.924,,
表格,5121,HEKTAR,0.52,0.97,647200,0.96,68.97,多头,0.501,0.473,,
表格,3417,E&O,0.79,-0.63,627600,0.39,58.77,多头,0.771,0.761,,
表格,5293,AME,1.31,0.77,608100,1.54,41.41,空头,1.322,1.347,,
表格,9822,SAM,4.03,-1.47,597500,0.66,40.54,空头,4.22,4.358,,
表格,0273,VLB,0.915,1.1,593700,0.2,60.0,多头,0.881,0.796,,
表格,0376,IAB,1.24,-0.8,584400,0.37,40.7,多头,1.284,1.357,,
表格,7163,PJBUMI,4.05,0.0,574300,0.88,72.36,多头,3.959,3.846,,
表格,5331,PGLOBAL,0.515,0.98,564500,1.19,59.82,多头,0.502,0.49,,
表格,5273,CHINHIN,2.07,-0.48,556700,13.42,42.53,空头,2.081,2.091,,
表格,6971,KOBAY,2.33,-2.1,548600,0.52,51.99,多头,2.297,2.332,,
