类型,代码,名称,价格,涨跌%,成交量,相对量,RSI,SAR,EMA20,50日均线,信号,AI点评
信号,RYAAY,Ryanair Holdings plc,55.3,2.33,1232400,0.82,51.81,多头,54.507,56.266,🎯 EMA20多头 + SAR多头 + T3形态突破,现价55.3低于50日均线56.27，RSI 51.81处中性区间，无超买；EMA20与SAR多头及T3突破信号偏多，但均线位置构成一定压制。
信号,SHW,Sherwin-Williams Company (The),329.1,2.72,1843800,1.09,48.79,多头,328.291,338.145,🎯 EMA20多头 + SAR多头 + T3形态突破,现价329.1低于50日均线338.15，RSI 48.79处中性区间，未超买；EMA20与SAR多头信号与均线位置背离，可靠性偏弱。
信号,SMCI,"Super Micro Computer, Inc.",43.26,4.22,49236100,1.31,63.82,多头,39.231,35.032,🎯 EMA20多头 + SAR多头 + T3形态突破,现价43.26高于50日均线35.03，EMA20与SAR均呈多头，T3形态突破；RSI 63.82接近超买区但未破70，信号偏可靠。
信号,VIAV,Viavi Solutions Inc.,40.68,9.27,8407300,1.74,59.95,多头,36.945,38.063,🎯 EMA20多头 + SAR多头 + T3形态突破,现价40.68高于50日均线38.06，EMA20与SAR均呈多头，RSI 59.95未超买，信号技术面可靠性较高。
信号,WMS,"Advanced Drainage Systems, Inc.",133.13,3.33,784200,0.99,50.54,多头,131.391,138.133,🎯 EMA20多头 + SAR多头 + T3形态突破,现价133.13低于50日均线138.13，RSI 50.54处中性区间，未超买；EMA20与SAR多头信号与均线位置背离，可靠性受限。
表格,INTC,Intel Corporation,123.0,-3.45,97481700,0.92,66.9,多头,108.911,99.052,,
表格,NVDA,NVIDIA Corporation,225.07,0.22,89808400,0.71,55.3,空头,221.423,215.795,,
表格,GRAB,Grab Holdings Limited,3.13,0.64,63132800,0.9,45.88,多头,3.155,3.393,,
表格,SPCX,Space Exploration Technologies ,148.68,0.44,54421300,0.61,54.82,空头,147.618,135.923,,
表格,NU,Nu Holdings Ltd.,13.59,0.22,52828400,0.76,40.02,空头,14.195,14.387,,
表格,TSLA,"Tesla, Inc.",372.11,-1.54,45925500,1.18,55.31,多头,365.597,348.249,,
表格,NOK,Nokia Corporation Sponsored,10.39,-0.38,45306200,0.52,49.68,多头,10.424,10.056,,
表格,CMCSA,Comcast Corporation,21.91,-0.99,41801800,1.4,27.48,空头,23.963,24.86,,
表格,IREN,IREN LIMITED,44.125,-4.39,41058500,1.02,51.13,多头,44.129,41.207,,
表格,NKE,"Nike, Inc.",35.75,-0.67,38219700,1.18,35.57,空头,37.01,39.405,,
表格,MSFT,Microsoft Corporation,516.17,3.66,38154200,1.79,63.31,多头,497.234,475.404,,
表格,F,Ford Motor Company,12.71,0.87,35038000,0.71,35.71,空头,13.442,13.934,,
表格,AGNC,AGNC Investment Corp.,9.62,0.0,34998000,1.01,26.95,空头,10.131,10.499,,
表格,AMZN,"Amazon.com, Inc.",249.67,0.12,34216300,0.97,44.53,空头,253.814,256.175,,
表格,HBAN,Huntington Bancshares Incorpora,15.64,2.16,33485800,1.15,37.5,空头,16.161,16.877,,
表格,PCG,Pacific Gas & Electric Co.,12.34,0.16,33439000,0.55,28.21,空头,13.811,16.013,,
表格,CDE,"Coeur Mining, Inc.",19.22,1.48,32211100,0.93,46.76,多头,19.826,18.644,,
表格,AUR,"Aurora Innovation, Inc.",6.04,-0.33,31912000,0.97,43.6,空头,6.279,6.33,,
表格,AKAM,"Akamai Technologies, Inc.",113.94,3.2,31872400,8.99,53.4,多头,110.905,113.273,,
表格,BMNR,"BitMine Immersion Technologies,",27.56,-1.68,31524300,0.71,61.12,多头,25.365,21.541,,
表格,SOFI,"SoFi Technologies, Inc.",16.58,-1.31,31359700,0.7,41.69,空头,17.251,17.584,,
表格,RKT,"Rocket Companies, Inc.",12.17,2.01,31249700,0.95,38.72,空头,12.938,13.568,,
表格,AAPL,Apple Inc.,341.07,1.53,29950100,0.7,65.7,多头,330.343,321.743,,
表格,GEN,Gen Digital Inc.,21.62,-6.29,29874300,3.63,20.72,空头,28.033,28.388,,
表格,BAC,Bank of America Corporation,56.7,1.2,28586200,0.74,31.34,空头,59.12,61.317,,
表格,PFE,"Pfizer, Inc.",28.67,0.92,27755200,0.82,66.43,多头,27.904,26.939,,
表格,IONQ,"IonQ, Inc.",45.48,1.11,27472800,1.18,63.28,多头,40.73,39.665,,
表格,META,"Meta Platforms, Inc.",751.66,-3.33,25753100,1.15,71.38,多头,677.362,615.32,,
表格,VALE,VALE S.A.,13.61,0.37,25596200,0.85,35.09,空头,14.395,14.471,,
表格,WBD,"Warner Bros. Discovery, Inc. - ",30.86,0.06,23737400,0.59,75.44,多头,29.153,27.739,,
表格,ORCL,Oracle Corporation,137.1,-1.75,23549400,0.7,40.61,空头,146.343,142.245,,
表格,CRWV,"CoreWeave, Inc.",87.59,-2.82,23510500,0.81,50.79,空头,86.693,85.763,,
表格,NFLX,"Netflix, Inc.",71.15,-0.79,23175700,0.71,37.08,空头,75.227,75.537,,
表格,T,AT&T Inc.,25.38,-0.28,22915400,0.6,50.33,空头,25.487,24.759,,
表格,HLN,Haleon plc,9.26,0.43,22366200,1.18,41.81,空头,9.414,9.721,,
表格,HL,Hecla Mining Company,18.19,1.39,22168300,0.62,45.25,空头,18.939,18.041,,
表格,CCL,Carnival Corporation Ltd.,22.25,2.11,22083100,0.98,36.64,空头,22.995,25.375,,
表格,GOOGL,Alphabet Inc.,343.92,0.46,21854700,0.81,49.77,空头,343.983,344.135,,
表格,MU,"Micron Technology, Inc.",1082.28,0.16,20870400,0.82,63.2,多头,1005.717,941.615,,
表格,STLA,Stellantis N.V.,4.6,2.91,20562300,0.92,34.68,空头,5.009,5.372,,
表格,DKNG,DraftKings Inc.,22.02,3.53,20465800,1.68,40.01,空头,23.089,23.967,,
表格,PYPL,"PayPal Holdings, Inc.",55.04,4.64,20379200,1.46,52.17,多头,54.176,56.69,,
表格,CSCO,"Cisco Systems, Inc.",106.7,-0.25,19950000,1.12,41.67,空头,109.271,112.447,,
表格,WMT,Walmart Inc.,107.98,0.36,19614100,0.84,49.47,多头,107.91,109.25,,
表格,RKLB,Rocket Lab Corporation,73.95,0.46,18802600,0.95,59.4,多头,68.498,69.486,,
表格,LYG,Lloyds Banking Group Plc,5.77,2.12,18540800,1.36,43.87,空头,5.867,5.983,,
表格,MSTR,Strategy Inc,158.61,-1.86,18462100,0.71,63.48,多头,142.512,117.664,,
表格,QCOM,QUALCOMM Incorporated,201.97,3.97,17805500,1.23,67.96,多头,183.74,169.64,,
表格,PLTR,Palantir Technologies Inc.,189.67,-1.52,17779900,0.65,63.69,多头,179.022,163.927,,
表格,AMD,"Advanced Micro Devices, Inc.",630.63,0.22,17594900,0.82,73.0,多头,550.193,504.713,,
表格,INFY,Infosys Limited,10.5,0.0,17570900,1.13,33.79,空头,11.136,11.667,,
表格,PSKY,Paramount Skydance Corporation,9.96,-2.16,16846700,0.79,44.76,空头,10.318,9.738,,
表格,RIVN,"Rivian Automotive, Inc.",15.47,1.18,16669900,0.77,47.36,空头,15.572,15.974,,
表格,QXO,"QXO, Inc.",12.43,1.39,16528000,0.96,46.02,多头,12.561,13.554,,
表格,BBD,Banco Bradesco Sa,3.41,0.89,16507700,0.58,48.92,空头,3.439,3.407,,
表格,NEE,"NextEra Energy, Inc.",76.08,0.61,16460500,1.42,23.11,空头,80.481,83.95,,
表格,AVGO,Broadcom Inc.,352.81,0.7,16220900,0.59,44.04,多头,358.719,376.006,,
表格,ITUB,Itau Unibanco Banco Holding SA,8.11,0.37,15929400,0.74,50.78,空头,8.127,7.998,,
表格,KEY,KeyCorp,20.61,1.78,15833400,1.12,37.47,空头,21.177,21.978,,
表格,CVS,CVS Health Corporation,89.13,4.8,15767300,2.25,40.1,空头,91.418,97.016,,
表格,HPE,Hewlett Packard Enterprise Comp,62.94,-0.91,15495500,0.55,61.45,多头,58.508,53.831,,
表格,BSX,Boston Scientific Corporation,43.92,-1.7,15205400,0.72,41.61,空头,45.193,46.878,,
表格,U,Unity Software Inc.,41.55,0.31,15149400,1.55,47.8,空头,42.425,40.109,,
表格,ET,Energy Transfer LP,20.19,-0.69,15112700,1.95,32.13,空头,20.928,20.765,,
表格,NLY,Annaly Capital Management Inc.,20.61,0.05,14949800,1.65,25.56,空头,21.699,22.543,,
表格,PBR,Petroleo Brasileiro S.A. Petrob,20.37,-2.26,14923600,0.66,52.95,空头,20.403,19.034,,
表格,VG,"Venture Global, Inc.",12.62,-4.61,14762800,1.0,35.93,空头,14.002,13.984,,
表格,MRNA,"Moderna, Inc.",198.88,2.08,13902900,0.84,76.07,多头,157.08,110.11,,
表格,HOOD,"Robinhood Markets, Inc.",119.4,-1.18,13889500,0.6,57.28,多头,114.69,104.248,,
表格,GOOG,Alphabet Inc.,341.08,0.61,13835100,0.78,50.0,空头,340.714,341.847,,
表格,SKHY,SK hynix Inc.,191.56,2.78,13677500,0.71,56.92,多头,180.681,163.963,,
表格,VZ,Verizon Communications Inc.,47.08,-0.51,13417600,0.63,39.83,空头,48.548,48.089,,
表格,RBLX,Roblox Corporation,46.44,-4.89,13379500,1.23,52.5,空头,46.255,43.279,,
表格,CNH,CNH Industrial N.V.,13.09,-1.43,13306300,0.53,52.76,空头,13.144,11.854,,
表格,CMG,"Chipotle Mexican Grill, Inc.",31.33,-2.12,13257000,1.06,30.07,空头,34.263,34.779,,
表格,ABEV,Ambev S.A.,2.91,0.0,13201700,0.53,44.23,空头,2.951,2.959,,
表格,GME,GameStop Corporation,23.39,-6.51,13195000,1.41,65.07,空头,21.791,20.266,,
表格,MDT,Medtronic plc.,88.64,0.97,13053500,1.35,44.01,空头,90.339,88.748,,
表格,ONON,On Holding AG,29.96,-1.64,12676400,1.16,54.2,多头,28.893,31.793,,
表格,KVUE,Kenvue Inc.,17.8,1.08,12558100,0.47,43.07,空头,17.966,18.507,,
表格,MRVL,"Marvell Technology, Inc.",261.94,1.15,12399000,0.58,63.1,多头,240.459,220.57,,
表格,KO,Coca-Cola Company (The),87.81,-0.33,12123400,0.77,49.98,多头,87.992,87.057,,
表格,HPQ,HP Inc.,31.3,0.51,12013300,0.66,48.98,空头,31.999,29.694,,
表格,O,Realty Income Corporation,55.54,0.23,11961800,1.59,17.42,空头,58.33,61.45,,
表格,CPNG,"Coupang, Inc.",13.88,0.0,11858600,0.72,31.54,空头,14.835,15.661,,
表格,CRDO,Credo Technology Group Holding ,210.97,7.65,11728000,1.25,57.86,多头,189.434,209.959,,
表格,JPM,JP Morgan Chase & Co.,343.06,1.33,11460300,1.55,41.68,空头,348.968,353.344,,
表格,ON,ON Semiconductor Corporation,77.2,5.54,11194700,1.03,54.81,多头,73.425,77.728,,
表格,CRCL,"Circle Internet Group, Inc.",89.0,-4.3,11088000,0.71,50.74,多头,89.751,79.593,,
表格,NBIS,Nebius Group N.V.,237.33,-2.53,11020500,0.72,55.55,多头,225.538,215.575,,
表格,XOM,ExxonMobil Holdings Corporation,160.59,-0.96,10996700,0.75,48.96,空头,161.746,159.006,,
表格,CPRT,"Copart, Inc.",27.59,-1.6,10902500,1.07,31.73,空头,30.147,30.501,,
表格,UBER,"Uber Technologies, Inc.",69.62,0.58,10875500,0.58,38.3,空头,71.953,73.301,,
表格,DVN,Devon Energy Corporation,47.05,-3.78,10757700,0.82,46.74,空头,48.076,46.436,,
表格,BMY,Bristol-Myers Squibb Company,62.86,2.21,10672800,1.03,44.54,空头,63.648,64.354,,
表格,GIS,"General Mills, Inc.",33.64,-3.42,10595500,1.07,28.87,空头,36.617,37.63,,
表格,KHC,The Kraft Heinz Company,23.63,-0.96,10454000,0.44,36.73,空头,24.441,24.999,,
表格,FIG,"Figma, Inc.",20.85,-2.3,10395800,0.66,35.02,空头,23.227,24.481,,
表格,KR,Kroger Company (The),58.74,-0.31,10236400,1.38,50.44,多头,58.813,57.829,,
表格,KGC,Kinross Gold Corporation,25.05,2.58,10234900,1.32,35.9,空头,28.086,27.521,,
表格,RF,Regions Financial Corporation,27.62,1.32,10153300,1.26,29.47,空头,28.93,30.166,,
表格,VTRS,Viatris Inc.,17.83,2.35,10151400,1.24,68.81,多头,16.971,16.821,,
表格,APH,Amphenol Corporation,84.09,1.22,10146000,0.84,58.38,多头,80.88,80.262,,
表格,KMI,"Kinder Morgan, Inc.",30.75,-1.6,10019700,0.79,42.3,多头,31.341,31.602,,
表格,PR,Permian Resources Corporation,21.36,-2.24,9930800,0.95,40.06,空头,22.5,21.995,,
表格,NVO,Novo Nordisk A/S,38.8,0.47,9922900,0.74,31.17,空头,42.353,45.546,,
表格,HAL,Halliburton Company,32.76,0.0,9833000,0.9,36.54,空头,34.315,34.069,,
表格,BEKE,KE Holdings Inc,16.33,-2.16,9756800,1.9,43.5,空头,16.738,16.991,,
表格,MCHP,Microchip Technology Incorporat,78.69,5.36,9747400,1.16,59.35,多头,74.378,75.888,,
表格,WFC,Wells Fargo & Company,82.97,0.96,9451500,0.65,38.52,空头,85.929,86.667,,
表格,AEG,Aegon Ltd. New York Registry Sh,8.89,0.91,9370700,2.06,45.2,空头,8.98,9.017,,
表格,STM,STMicroelectronics N.V.,51.93,0.68,9301200,1.15,51.31,多头,51.115,52.497,,
表格,ROL,"Rollins, Inc.",30.03,-1.22,9264200,1.48,19.62,空头,33.632,36.512,,
表格,EQX,Equinox Gold Corp.,11.94,1.79,9211500,0.7,48.07,多头,12.201,11.464,,
表格,VICI,VICI Properties Inc.,23.51,1.03,8995900,0.85,32.42,空头,24.331,25.335,,
表格,MNST,Monster Beverage Corporation,43.11,1.03,8976300,0.93,37.87,空头,44.383,46.045,,
表格,BKNG,Booking Holdings Inc. Common St,163.95,4.15,8914300,1.07,33.84,空头,175.322,190.877,,
表格,PINS,"Pinterest, Inc.",18.9,0.96,8895600,0.57,39.92,空头,19.693,21.936,,
表格,KDP,Keurig Dr Pepper Inc.,31.95,3.47,8853400,0.88,53.55,空头,31.539,31.198,,
表格,DOW,Dow Inc.,28.02,-1.89,8840500,1.01,38.37,空头,29.225,29.889,,
表格,EQT,EQT Corporation,50.81,-2.04,8834800,1.19,38.72,空头,52.297,52.94,,
表格,CRM,"Salesforce, Inc.",234.02,-1.76,8735500,0.52,50.29,空头,237.773,213.365,,
表格,TSCO,Tractor Supply Company,32.27,2.64,8709500,0.95,42.73,空头,33.127,33.249,,
表格,DELL,Dell Technologies Inc.,562.89,5.01,8703900,0.79,58.69,空头,531.883,475.696,,
表格,TJX,"TJX Companies, Inc. (The)",130.06,-1.19,8659600,0.94,40.63,多头,131.535,143.042,,
表格,CSX,CSX Corporation,46.78,-0.36,8579200,0.8,35.61,空头,48.135,49.739,,
表格,TOST,"Toast, Inc.",30.6,1.63,8521200,0.98,39.84,多头,31.677,32.945,,
表格,OXY,Occidental Petroleum Corporatio,56.86,-2.05,8430300,1.0,42.0,空头,58.853,58.169,,
表格,TEM,"Tempus AI, Inc.",85.01,3.37,8427000,1.21,72.54,多头,71.371,59.372,,
表格,MRK,"Merck & Company, Inc.",148.78,0.54,8288800,0.84,57.96,多头,146.611,139.715,,
表格,JHX,James Hardie Industries plc.,26.1,0.0,8227800,0.6,37.96,空头,27.57,28.245,,
表格,C,"Citigroup, Inc.",134.28,1.65,8082700,0.81,49.85,空头,134.195,133.945,,
表格,SAN,"Banco Santander, S.A. Sponsored",14.42,0.98,7995400,1.02,48.3,空头,14.528,14.401,,
表格,NOW,"ServiceNow, Inc.",135.62,-1.57,7980300,0.51,51.6,多头,136.057,125.787,,
表格,ERIC,Ericsson,9.53,0.21,7904400,0.97,35.8,空头,9.969,9.986,,
表格,TME,Tencent Music Entertainment Gro,8.39,0.6,7900500,1.05,52.38,多头,8.233,8.705,,
表格,B,Barrick Mining Corporation,42.88,1.32,7840900,0.88,48.74,空头,43.297,41.847,,
表格,BP,BP p.l.c.,44.15,-0.59,7827000,0.76,50.07,空头,44.344,43.452,,
表格,MDLN,Medline Inc.,34.7,0.12,7797700,0.95,52.25,多头,33.974,35.68,,
表格,ABT,Abbott Laboratories,101.29,0.22,7784200,0.88,36.14,空头,104.526,107.006,,
表格,TSM,Taiwan Semiconductor Manufactur,450.61,-0.12,7751900,0.77,62.48,多头,433.222,419.242,,
表格,CRWD,"CrowdStrike Holdings, Inc.",252.13,-2.9,7630500,0.59,62.13,多头,234.43,212.631,,
表格,FCX,"Freeport-McMoRan, Inc.",72.31,0.32,7544200,0.62,51.53,多头,72.125,69.619,,
表格,SCHW,Charles Schwab Corporation (The,99.03,-0.46,7528000,0.86,31.15,空头,104.766,106.527,,
表格,XEL,Xcel Energy Inc.,69.8,0.35,7478300,1.27,28.07,空头,73.206,76.188,,
表格,CX,"Cemex, S.A.B. de C.V. Sponsored",9.71,2.1,7388300,1.16,32.5,空头,10.307,11.061,,
表格,IVZ,Invesco Ltd,30.92,0.78,7375300,1.84,46.56,空头,31.272,31.268,,
表格,SNDK,Sandisk Corporation,1777.8,1.38,7322300,0.68,57.33,多头,1677.507,1516.759,,
表格,SBUX,Starbucks Corporation,94.86,1.29,7282400,1.08,31.78,空头,98.59,103.014,,
表格,SLB,SLB Limited,51.54,0.21,7260200,0.49,41.66,空头,53.238,52.487,,
表格,DIS,Walt Disney Company (The),106.15,0.56,7246700,0.89,52.79,空头,105.38,103.487,,
表格,GM,General Motors Company,82.63,2.56,7222600,0.98,45.25,空头,84.394,85.267,,
表格,TFC,Truist Financial Corporation,47.66,1.02,7173600,0.96,36.75,空头,49.17,50.688,,
表格,KLAC,KLA Corporation,187.92,0.43,7140400,0.74,54.16,多头,182.089,188.794,,
表格,VIK,Viking Holdings Ltd,80.3,0.98,7134600,1.67,33.01,空头,85.251,93.785,,
表格,CVX,Chevron Corporation,204.45,-0.58,7134300,0.7,48.12,空头,206.843,200.314,,
表格,WY,Weyerhaeuser Company,20.01,-0.65,7126800,1.13,23.64,空头,21.892,23.392,,
表格,CARR,Carrier Global Corporation,56.37,2.73,7024500,1.01,43.77,多头,56.744,60.745,,
表格,ARM,Arm Holdings plc,310.32,1.3,6994400,1.35,61.18,多头,280.509,264.316,,
表格,LUV,Southwest Airlines Company,42.68,2.72,6978900,1.2,59.46,多头,40.814,42.625,,
表格,EXC,Exelon Corporation,40.34,0.35,6910400,0.91,24.5,空头,42.386,44.174,,
表格,TU,Telus Corporation,8.48,-0.47,6897900,1.09,23.32,空头,8.992,9.529,,
表格,PPL,PPL Corporation,32.03,0.19,6892400,1.02,26.31,空头,33.441,34.54,,
表格,CNP,"CenterPoint Energy, Inc (Holdin",36.84,0.05,6859600,1.05,26.95,空头,38.461,40.191,,
表格,DT,"Dynatrace, Inc.",57.95,-1.24,6848900,0.98,67.6,多头,54.544,49.934,,
表格,FAST,Fastenal Company,50.43,-0.59,6809000,1.02,56.04,多头,49.821,49.365,,
表格,ROIV,Roivant Sciences Ltd.,35.8,-0.91,6764400,0.63,40.9,空头,37.833,36.432,,
表格,AS,"Amer Sports, Inc.",27.77,3.74,6724100,0.86,42.7,多头,28.3,31.782,,
表格,PEP,"Pepsico, Inc.",128.63,0.37,6705400,0.75,29.79,空头,133.696,136.809,,
表格,ZS,"Zscaler, Inc.",193.05,-10.06,6700000,1.78,53.64,多头,191.099,173.846,,
表格,FISV,"Fiserv, Inc.",46.48,1.09,6684800,0.93,35.13,空头,48.971,51.513,,
表格,CSGP,"CoStar Group, Inc.",28.09,0.83,6662500,0.88,36.67,空头,29.781,30.407,,
表格,BAX,Baxter International Inc.,23.37,-0.47,6569000,1.04,38.29,多头,24.114,25.09,,
表格,MCD,McDonald's Corporation,236.5,-0.22,6530000,1.13,24.98,空头,250.619,261.3,,
表格,AVTR,"Avantor, Inc.",15.25,-0.85,6529500,0.75,57.59,空头,14.957,13.947,,
表格,BKR,Baker Hughes Company,57.83,0.94,6521800,0.76,40.94,空头,59.142,60.569,,
表格,ELAN,Elanco Animal Health Incorporat,22.31,-0.18,6454600,1.21,37.82,空头,23.115,24.06,,
表格,ASTS,"AST SpaceMobile, Inc.",61.81,1.23,6434700,0.65,49.3,空头,61.629,62.794,,
表格,WMB,"Williams Companies, Inc. (The)",69.26,-1.87,6433300,0.79,36.9,空头,71.824,72.205,,
表格,USB,U.S. Bancorp,59.33,1.59,6412600,0.83,38.15,空头,60.893,62.696,,
表格,UMC,United Microelectronics Corpora,24.31,0.87,6334400,0.52,61.81,多头,22.842,20.533,,
表格,P,"Everpure, Inc.",126.0,3.38,6300700,0.85,71.05,多头,106.017,96.025,,
表格,COIN,"Coinbase Global, Inc.",195.11,-2.06,6263400,0.61,56.89,多头,185.234,170.44,,
表格,FIS,Fidelity National Information S,35.41,1.2,6238600,1.04,32.26,空头,37.346,40.343,,
表格,HST,"Host Hotels & Resorts, Inc.",22.42,0.95,6232600,0.77,50.53,多头,22.28,23.098,,
表格,SHOP,Shopify Inc.,142.25,-2.0,5991700,0.57,53.43,多头,138.806,137.954,,
表格,PBR-A,Petroleo Brasileiro S.A. Petrob,18.52,-2.47,5973700,0.8,54.75,空头,18.462,17.064,,
表格,HD,"Home Depot, Inc. (The)",293.2,0.35,5968600,1.36,31.91,空头,307.852,325.542,,
表格,FITB,Fifth Third Bancorp,52.1,1.24,5959000,1.06,37.8,空头,53.531,55.522,,
表格,WDC,Western Digital Corporation,456.81,1.44,5935300,0.91,49.64,空头,453.632,473.826,,
表格,BABA,Alibaba Group Holding Limited,109.74,-0.8,5907900,0.65,42.14,多头,112.809,117.806,,
表格,FPS,"Forgent Power Solutions, Inc.",38.97,0.05,5792800,0.56,59.29,多头,35.596,35.094,,
表格,PG,Procter & Gamble Company (The),146.23,0.38,5790500,0.71,50.79,多头,146.112,145.86,,
表格,CVE,Cenovus Energy Inc,30.93,-1.12,5780500,0.89,43.45,空头,31.915,30.88,,
表格,EPD,Enterprise Products Partners L.,36.75,-1.4,5743000,2.33,32.9,空头,38.251,38.334,,
表格,CBRS,Cerebras Systems Inc.,206.75,0.16,5639500,0.96,53.41,空头,199.663,202.711,,
表格,PSLV,"""Sprott Physical Silver Trust""",21.01,1.2,5638511,0.89,48.25,多头,21.238,20.74,,
表格,GLW,Corning Incorporated,156.74,1.68,5634000,0.64,51.76,空头,154.135,152.6,,
表格,SUNB,"Sunbelt Rentals Holdings, Inc.",75.06,3.19,5602600,0.64,54.32,多头,73.276,74.71,,
表格,CM,Canadian Imperial Bank of Comme,113.6,1.96,5597000,4.32,45.83,空头,114.582,116.962,,
表格,MDLZ,"Mondelez International, Inc.",60.25,-1.0,5578300,0.69,39.65,空头,61.608,62.099,,
表格,ABNB,"Airbnb, Inc.",157.47,4.02,5476500,1.06,38.31,空头,166.826,167.997,,
表格,SYY,Sysco Corporation,78.46,0.35,5472500,1.27,40.33,空头,80.043,82.15,,
表格,BA,Boeing Company (The),198.07,0.65,5376400,0.83,37.75,空头,204.764,214.372,,
表格,DDOG,"Datadog, Inc.",268.13,4.36,5366500,1.48,66.97,多头,239.614,242.703,,
表格,ENB,Enbridge Inc,46.74,-1.29,5361400,0.9,27.14,空头,48.759,51.012,,
表格,INIO,INNIO N.V.,19.12,0.58,5358600,0.98,41.16,多头,20.482,23.483,,
表格,APA,APA Corporation,42.74,-2.15,5333400,0.95,48.5,空头,43.585,40.871,,
表格,INVH,Invitation Homes Inc.,26.62,0.45,5312600,0.96,26.88,空头,27.445,28.796,,
表格,IBN,ICICI Bank Limited,27.92,0.14,5311700,1.19,34.41,空头,28.736,29.497,,
表格,GILD,"Gilead Sciences, Inc.",150.93,0.83,5284300,0.9,60.57,多头,147.843,140.838,,
表格,JBS,JBS N.V.,11.57,1.85,5256800,1.03,29.17,空头,12.34,13.036,,
表格,XP,XP Inc.,20.51,-0.05,5232300,0.69,63.24,多头,19.697,17.91,,
表格,AMH,American Homes 4 Rent,30.64,-0.1,5212200,1.8,28.84,空头,31.654,32.839,,
表格,IOT,Samsara Inc.,37.96,-3.46,5204600,0.65,45.39,空头,39.301,38.746,,
表格,DOC,"Healthpeak Properties, Inc.",20.31,0.2,5204400,1.03,43.43,空头,20.536,21.034,,
表格,AMAT,"Applied Materials, Inc.",485.0,2.27,5201600,0.81,55.74,多头,462.984,489.977,,
表格,CRH,CRH PLC,85.04,1.29,5197100,1.05,35.16,空头,88.818,94.377,,
表格,LULU,lululemon athletica inc.,101.3,-0.33,5195900,0.64,41.92,空头,104.727,113.728,,
表格,AES,The AES Corporation,14.87,0.13,5157800,0.67,66.56,多头,14.807,14.742,,
表格,MO,"Altria Group, Inc.",68.82,-0.09,5156700,0.62,53.47,空头,68.465,68.075,,
